Flavour, Time since last tick, Framerate, Boids on screen
CPUseq, 40933, 256.489176156766, 268
CPUseq, 49564, 210.075206924079, 268
CPUseq, 47880, 216.351874688994, 268
CPUseq, 58843, 175.675913075558, 268
CPUseq, 49670, 208.894737941551, 268
CPUseq, 38569, 269.818142571906, 268
CPUseq, 40198, 258.792474314847, 268
CPUseq, 47756, 216.281685266892, 268
CPUseq, 44999, 230.266187712996, 268
CPUseq, 41510, 250.808858568885, 268
CPUseq, 41489, 250.17512258581, 268
CPUseq, 44565, 232.336609279524, 268
CPUseq, 40017, 259.679555428601, 268
CPUseq, 40198, 258.872867534754, 268
CPUseq, 41543, 249.893795137067, 268
CPUseq, 49094, 210.46871382569, 268
CPUseq, 44275, 234.785875281743, 268
CPUseq, 49506, 209.942895532415, 268
CPUseq, 49803, 207.490403568835, 268
CPUseq, 50729, 204.641263864446, 268
CPUseq, 55053, 188.178619145293, 268
CPUseq, 53496, 193.087468623286, 268
CPUseq, 50067, 209.332021519332, 268
CPUseq, 48490, 213.342435943934, 268
CPUseq, 50677, 212.752377507819, 277
CPUseq, 39970, 265.237918412816, 286
CPUseq, 66511, 155.603273892883, 297
CPUseq, 45612, 230.749705794125, 306
CPUseq, 48827, 217.703661775591, 319
CPUseq, 54282, 196.625899563491, 325
CPUseq, 56610, 185.559740958602, 336
CPUseq, 43564, 242.04870019848, 344
CPUseq, 53428, 198.664971392244, 358
CPUseq, 57564, 181.570585565138, 366
CPUseq, 67849, 153.711360806677, 375
CPUseq, 48061, 218.526693035554, 381
CPUseq, 121176, 86.8379690335802, 390
CPUseq, 67693, 162.488016508782, 394
CPUseq, 61321, 171.435428845725, 402
CPUseq, 53154, 197.659709044908, 407
CPUseq, 47535, 220.9163610657, 418
CPUseq, 44071, 239.326057821176, 425
CPUseq, 54640, 192.470552005543, 434
CPUseq, 46196, 227.329559662643, 443
CPUseq, 64393, 161.462201698582, 451
CPUseq, 59184, 177.645136076174, 456
CPUseq, 54789, 190.410906736738, 463
CPUseq, 61508, 168.861870989531, 468
CPUseq, 48399, 217.414936406131, 474
CPUseq, 51789, 201.905992569859, 482
CPUseq, 60955, 173.061280999602, 492
CPUseq, 67961, 154.356718376167, 498
CPUseq, 63046, 166.248275174145, 505
CPUseq, 49092, 213.492741246798, 513
CPUseq, 66803, 155.431555714441, 522
CPUseq, 60258, 173.861640906167, 528
CPUseq, 54081, 193.165794201163, 536
CPUseq, 51934, 201.353092783505, 542
CPUseq, 48060, 219.370406932105, 552
CPUseq, 68605, 151.581755619894, 557
CPUseq, 53566, 195.308685377239, 565
CPUseq, 52942, 199.932023112142, 570
CPUseq, 59464, 176.894093506218, 579
CPUseq, 49610, 211.211084357707, 583
CPUseq, 57451, 181.126607498642, 591
CPUseq, 50275, 208.259574733948, 594
CPUseq, 62781, 165.163677204109, 598
CPUseq, 54254, 192.233756247597, 599
CPUseq, 59867, 174.428745857317, 603
CPUseq, 51825, 205.499157453454, 605
CPUseq, 123831, 85.0137722311014, 610
CPUseq, 56682, 201.734920314707, 611
CPUseq, 123817, 86.2857438693979, 616
CPUseq, 62438, 177.774617340136, 618
CPUseq, 50777, 206.428173317094, 627
CPUseq, 65112, 160.122974444373, 634
CPUseq, 57985, 179.356111559501, 646
CPUseq, 68289, 152.160681679854, 651
CPUseq, 64218, 162.694216220613, 657
CPUseq, 51066, 205.0020500205, 659
CPUseq, 60406, 171.95130339088, 666
CPUseq, 56699, 183.654729109275, 671
CPUseq, 62987, 164.568419320332, 679
CPUseq, 70110, 149.066841571761, 684
CPUseq, 74471, 139.776078721888, 694
CPUseq, 75918, 137.003192174378, 702
CPUseq, 79891, 128.937426666839, 709
CPUseq, 66003, 157.047506870828, 715
CPUseq, 62084, 167.254846209169, 721
CPUseq, 55279, 188.718413255581, 726
CPUseq, 67880, 152.390240928971, 733
CPUseq, 56070, 185.76311487591, 737
CPUseq, 65063, 159.04825524064, 746
CPUseq, 71898, 144.688485690309, 749
CPUseq, 57078, 182.535046728972, 757
CPUseq, 70780, 146.877386757535, 764
CPUseq, 72939, 142.011162077339, 772
CPUseq, 69556, 150.163678409466, 778
CPUseq, 66701, 157.072174664258, 788
CPUseq, 77245, 135.339974014725, 797
CPUseq, 67021, 154.483099548909, 805
CPUseq, 65966, 156.978478250632, 815
CPUseq, 81790, 129.792591438881, 823
CPUseq, 71452, 149.642354772095, 829
CPUseq, 77492, 132.936296926513, 839
CPUseq, 59017, 176.164890337356, 845
CPUseq, 75589, 136.351240796291, 855
CPUseq, 77756, 132.466121789352, 863
CPUseq, 76637, 134.377897523415, 872
CPUseq, 83545, 122.983077528532, 877
CPUseq, 122778, 85.7397626723369, 883
CPUseq, 94564, 112.261164372797, 887
CPUseq, 64044, 161.867301186487, 896
CPUseq, 73267, 140.779637633213, 902
CPUseq, 75575, 136.625087098493, 909
CPUseq, 71823, 143.971896685767, 914
CPUseq, 73854, 139.618005137943, 920
CPUseq, 84764, 121.700397960301, 924
CPUseq, 77252, 133.402702738757, 929
CPUseq, 64874, 159.675539304134, 930
CPUseq, 85415, 121.341552201136, 933
CPUseq, 79025, 130.323724130741, 934
CPUseq, 78982, 131.705453922847, 938
CPUseq, 63023, 164.595506542671, 941
CPUseq, 72941, 141.312795873666, 947
CPUseq, 125931, 86.6829052642528, 953
CPUseq, 87858, 121.32977432662, 956
CPUseq, 82737, 124.259105085925, 963
CPUseq, 78759, 132.178970325821, 969
CPUseq, 124206, 84.4523266615995, 976
CPUseq, 73694, 146.752370050776, 980
CPUseq, 80590, 128.083612982555, 983
CPUseq, 91022, 112.877009210764, 988
CPUseq, 84010, 122.34211749737, 991
CPUseq, 66878, 154.887474249957, 993
CPUseq, 72848, 143.270580818935, 999
CPUseq, 77727, 142.158535198453, 1006
CPUseq, 67099, 154.182984365845, 1012
CPUseq, 101809, 101.224820325944, 1023
CPUseq, 70769, 146.085635399471, 1027
CPUseq, 68348, 151.329429034064, 1033
CPUseq, 74113, 139.390306798065, 1040
CPUseq, 84456, 122.918075102944, 1048
CPUseq, 73532, 140.467193886868, 1052
CPUseq, 80342, 129.429732598172, 1059
CPUseq, 69577, 148.57074939086, 1064
CPUseq, 90790, 113.129850442338, 1071
CPUseq, 95254, 107.510697314383, 1076
CPUseq, 87553, 117.234668636209, 1083
CPUseq, 92138, 111.290412330978, 1087
CPUseq, 88894, 115.510788707665, 1091
CPUseq, 102936, 101.421935536218, 1095
CPUseq, 91822, 111.665717508068, 1103
CPUseq, 97839, 105.117100449901, 1107
CPUseq, 94755, 109.067905678075, 1115
CPUseq, 77582, 132.870942453595, 1118
CPUseq, 75137, 137.292859398383, 1126
CPUseq, 90006, 114.176105224699, 1131
CPUseq, 72849, 141.627011103558, 1139
CPUseq, 94093, 108.871977441726, 1145
